股票代號,行業類別
3467,電子零組件業
7718,鋼鐵工業
7736,電機機械
6872,生技醫療業
7728,其他電子業
7734,半導體業
7709,電機機械
7713,生技醫療業
4749,半導體業
7715,綠能環保
6994,綠能環保
6931,生技醫療業
7714,數位雲端類
7732,電機機械
7712,半導體業
6982,電機機械
7704,半導體業
6885,生技醫療業
6997,數位雲端類
8045,通信網路業
6996,半導體業
7722,數位雲端
6720,半導體業
7705,觀光餐旅
7708,觀光餐旅
7703,其他電子業
2646,航運業
8272,資訊服務業
6919,生技醫療業
6913,電子零組件業
1294,食品工業
6967,電子零組件業
6923,綠能環保
4772,化學工業
2751,觀光餐旅
6739,其他電子業
6958,其他
6968,居家生活
6838,生技醫療業
7584,文化創意業
6637,生技醫療業
6952,其他
6903,其他電子業
6881,其他
6928,電子工業
1563,汽車工業
6953,半導體業
4949,光電業
6914,其他
6899,光電業
6929,生技醫療業
6875,生技醫療業
3168,光電業
2941,居家生活
5548,建材營造
4771,生技醫療業
6844,生技醫療業
6692,綠能環保
4588,其他電子業
6906,數位雲端
2949,數位雲端類
6937,半導體業
2948,居家生活
6904,其他
6742,光電業
6916,光電業
6894,綠能環保
5292,綠能環保
6922,電腦及週邊設備業
6805,電子工業
6658,其他電子業
6856,文化創意業
6526,半導體業
6901,其他
6870,數位雲端類
6895,半導體業
2073,鋼鐵工業
6877,其他電子業
6657,生技醫療業
6821,電子零組件業
6584,電子零組件業
6846,食品工業
6861,生技醫療業
6840,其他電子業
6606,電機機械
2645,航運業
6753,航運業
6865,數位雲端類
6708,半導體業
8227,半導體業
6517,光電業
3447,通信網路業
6874,資訊服務業
6859,光電業
6782,生技醫療業
6843,電機機械
6791,資訊服務業
6835,電子工業
6695,半導體業
4951,半導體業
6855,其他電子業
4584,電機機械
6689,數位雲端
3430,化學工業
6834,電子工業
6830,其他電子業
6811,數位雲端類
6823,半導體業
6789,半導體業
4577,其他電子業
6796,生技醫療業
6546,通信網路業
5228,電子零組件業
6585,其他
6799,半導體業
4583,電機機械
6721,其他
6735,其他電子業
4768,化學工業
6804,運動休閒
3349,電腦及週邊設備業
4558,電機機械
6763,數位雲端類
4923,半導體業
8438,綠能環保
6829,電機機械
6693,半導體業
2756,觀光餐旅
6719,半導體業
3592,半導體業
6691,其他電子業
4770,化學工業
6792,通信網路業
6770,半導體業
2945,貿易百貨
6806,綠能環保
6761,電子零組件業
5222,半導體業
4440,紡織纖維
2947,居家生活
6790,造紙工業
6788,半導體業
2753,觀光餐旅
6684,半導體業
5236,半導體業
3357,電子零組件業
2211,鋼鐵工業
6776,電子工業
6651,半導體業
6733,生技醫療業
6661,生技醫療業
6767,生技醫療業
6712,生技醫療業
6751,資訊服務業
6728,居家生活
6756,半導體業
6762,生技醫療業
2755,觀光餐旅
6743,其他電子業
3138,通信網路業
6752,資訊服務業
6727,電子零組件業
1342,其他
4945,半導體業
7556,半導體業
6703,生技醫療業
2247,汽車工業
8089,通信網路業
2754,觀光餐旅
2241,汽車工業
6754,居家生活
6588,通信網路業
6732,半導體業
8284,資訊服務業
3543,光電業
6716,半導體業
2743,觀光餐旅
3597,電子零組件業
4580,電機機械
6697,資訊服務業
6527,生技醫療業
6706,光電業
6715,電子工業
6592,其他
6698,其他電子業
6690,電子零組件業
6491,半導體業
2752,食品工業
6642,其他電子業
4931,生技醫療業
6680,半導體業
4572,通信網路業
4576,數位雲端
6589,光電業
6649,其他電子業
6624,其他電子業
5283,光電業
6679,其他電子業
6516,半導體業
6683,通信網路業
6669,半導體業
6662,電子零組件業
4760,數位雲端
4564,生技醫療業
6418,其他電子業
6643,其他電子業
4538,半導體業
4967,半導體業
6590,其他電子業
6670,其他電子業
2070,電器電纜
6668,其他電子業
6671,其他電子業
6558,其他電子業
4766,半導體業
6674,其他電子業
6655,其他電子業
3178,電子零組件業
6667,其他電子業
4767,半導體業
6654,其他電子業
6640,其他電子業
5876,光電業
4961,半導體業
4568,半導體業
6578,其他電子業
6664,其他電子業
8367,資訊服務業
4540,半導體業
1240,水泥窯製
6612,其他電子業
3530,電子零組件業
4744,半導體業
4563,半導體業
8028,資訊服務業
6576,其他電子業
4989,半導體業
4561,半導體業
6561,其他電子業
3147,電子零組件業
6288,其他電子業
5220,光電業
1587,紡織纖維
6416,其他電子業
2745,食品工業
6547,其他電子業
5864,光電業
8440,資訊服務業
6461,其他電子業
8497,資訊服務業
2630,航運業
6625,其他電子業
4566,半導體業
6581,其他電子業
1760,紡織纖維
5299,光電業
1796,紡織纖維
6596,其他電子業
4764,半導體業
6613,其他電子業
6570,其他電子業
8478,資訊服務業
4155,生技醫療業
8342,資訊服務業
6593,其他電子業
6556,電子零組件業
1268,水泥窯製
6441,其他電子業
4741,半導體業
6574,其他電子業
4562,電機機械
6579,電子工業
6582,橡膠工業
2937,居家生活
2897,金融保險
8489,其他
6438,其他電子業
6492,半導體業
2065,電器電纜
6472,其他電子業
6577,其他電子業
6533,其他電子業
